HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,HUPLxM,HUPLxHM,HUnbStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,AUPLxM,AUPLxAM,AUnbStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Venue,Result
7,6,10.4,2.7,4.4,11.7,2.0,0.0,0.5,1.2,1.1,1.0,-7.0,1.0,0.8,1.1,20.0,30.0,0.0,40.0,50.0,0.0,14.2,4.5,6.6,7.3,0.7,0.1,1.5,1.3,1.6,1.2,2.0,4.0,1.1,1.4,30.0,30.0,0.0,50.0,80.0,0.0,74,73,77,74.67,80,78,79,79.0,3.4,3.3,2.15,Vicarage Road,D
3,3,11.3,4.1,3.8,12.8,1.8,0.1,1.0,1.2,0.9,0.9,-2.0,0.0,1.3,1.3,40.0,40.0,0.0,50.0,50.0,0.0,9.0,2.9,5.7,10.5,2.5,0.2,0.7,1.4,0.8,1.7,-7.0,-9.0,0.6,1.0,10.0,20.0,0.0,40.0,60.0,0.0,71,71,72,71.33,73,73,74,73.33,2.15,3.3,3.9,Hull City Stadium,D
5,6,10.1,3.2,4.3,10.7,2.5,0.1,0.9,1.8,1.0,1.7,-9.0,-7.0,0.9,1.3,20.0,40.0,0.0,50.0,50.0,0.0,9.6,3.1,4.1,9.1,1.1,0.0,1.1,1.4,1.2,1.5,-3.0,-3.0,1.0,1.0,20.0,20.0,0.0,60.0,60.0,0.0,78,78,79,78.33,76,78,79,77.67,2.7,3.39,2.75,London Stadium,D
5,6,14.3,4.8,7.8,10.7,1.0,0.0,1.3,0.8,1.6,0.8,5.0,8.0,1.7,2.1,50.0,60.0,0.0,70.0,90.0,1.0,11.1,3.6,6.0,10.5,1.6,0.2,0.8,1.6,0.7,1.2,-8.0,-5.0,0.8,0.8,20.0,20.0,0.0,40.0,40.0,0.0,78,80,79,79.0,76,78,77,77.0,1.8,3.75,5.0,Goodison Park,D
7,7,12.2,7.0,5.6,12.1,1.5,0.0,1.2,1.7,1.4,0.9,-5.0,5.0,1.0,1.9,30.0,60.0,0.0,40.0,70.0,0.0,9.6,5.4,4.5,10.3,1.5,0.0,0.7,2.0,0.9,2.5,-13.0,-16.0,1.0,0.9,20.0,20.0,0.0,60.0,50.0,0.0,71,75,74,73.33,72,72,76,73.33,1.75,4.0,5.0,The Hawthorns,D
7,3,10.0,3.5,5.2,11.4,0.8,0.1,1.3,1.9,1.8,0.9,-6.0,9.0,1.3,2.0,40.0,60.0,0.0,50.0,80.0,0.0,15.4,5.8,6.3,9.3,1.3,0.0,2.5,1.0,2.5,0.9,15.0,16.0,2.2,2.2,70.0,70.0,2.0,80.0,80.0,2.0,78,80,80,79.33,79,81,85,81.67,4.2,3.75,1.9,Goodison Park,D
5,4,17.5,6.3,6.7,10.7,1.6,0.0,2.6,0.9,2.3,0.8,17.0,15.0,2.3,2.0,70.0,60.0,1.0,90.0,80.0,1.0,11.7,3.4,3.0,9.0,2.0,0.1,0.8,2.1,0.7,2.0,-13.0,-13.0,0.5,0.6,10.0,10.0,0.0,30.0,40.0,0.0,82,86,84,84.0,79,78,78,78.33,1.22,6.5,13.0,Stamford Bridge,D
10,10,9.3,2.9,4.8,12.9,1.7,0.1,0.8,2.0,0.7,1.2,-12.0,-5.0,0.7,1.0,20.0,30.0,0.0,30.0,40.0,0.0,11.3,3.0,5.0,11.6,1.4,0.1,1.3,2.0,1.4,1.3,-7.0,1.0,1.1,1.4,30.0,30.0,0.0,50.0,80.0,0.0,74,76,79,76.33,74,74,77,75.0,2.62,3.3,2.7,Selhurst Park,D
3,6,17.4,7.1,3.9,9.3,1.2,0.1,1.8,1.0,2.1,0.7,8.0,14.0,2.0,2.3,60.0,70.0,0.0,80.0,90.0,0.0,11.4,2.7,4.2,11.2,1.1,0.0,1.2,1.5,1.2,1.4,-3.0,-2.0,1.1,1.0,30.0,20.0,1.0,50.0,60.0,2.0,81,81,82,81.33,76,74,74,74.67,1.29,6.0,13.0,Anfield,D
4,4,14.7,5.0,4.6,10.3,2.1,0.0,0.8,2.0,0.8,1.3,-12.0,-5.0,0.7,0.8,10.0,10.0,0.0,50.0,60.0,0.0,12.9,6.3,6.4,12.6,2.0,0.2,1.6,1.4,1.4,1.4,2.0,0.0,1.8,1.4,50.0,40.0,0.0,80.0,60.0,1.0,77,77,76,76.67,80,83,85,82.67,4.33,3.6,1.95,St Mary's Stadium,D
