Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team
2014-12-13,Premier League,Sat,Away,W,1,0,Leicester City,57.0,city
2014-12-20,Premier League,Sat,Home,W,3,0,Crystal Palace,73.0,city
2014-12-26,Premier League,Fri,Away,W,3,1,West Brom,52.0,city
2014-12-28,Premier League,Sun,Home,D,2,2,Burnley,62.0,city
2015-01-01,Premier League,Thu,Home,W,3,2,Sunderland,64.0,city
2015-01-04,FA Cup,Sun,Home,W,2,1,Sheffield Weds,,city
2015-01-10,Premier League,Sat,Away,D,1,1,Everton,62.0,city
2015-01-18,Premier League,Sun,Home,L,0,2,Arsenal,65.0,city
2015-01-24,FA Cup,Sat,Home,L,0,2,Middlesbrough,,city
2015-01-31,Premier League,Sat,Away,D,1,1,Chelsea,57.0,city
2015-02-07,Premier League,Sat,Home,D,1,1,Hull City,74.0,city
2015-02-11,Premier League,Wed,Away,W,4,1,Stoke City,49.0,city
2015-02-21,Premier League,Sat,Home,W,5,0,Newcastle Utd,57.0,city
2015-02-24,Champions Lg,Tue,Home,L,1,2,es Barcelona,38.0,city
2015-03-01,Premier League,Sun,Away,L,1,2,Liverpool,52.0,city
2015-03-04,Premier League,Wed,Home,W,2,0,Leicester City,70.0,city
2015-03-14,Premier League,Sat,Away,L,0,1,Burnley,70.0,city
2015-03-18,Champions Lg,Wed,Away,L,0,1,es Barcelona,41.0,city
2015-03-21,Premier League,Sat,Home,W,3,0,West Brom,78.0,city
2015-04-06,Premier League,Mon,Away,L,1,2,Crystal Palace,74.0,city
2015-04-12,Premier League,Sun,Away,L,2,4,Manchester Utd,41.0,city
2015-04-19,Premier League,Sun,Home,W,2,0,West Ham,67.0,city
2015-04-25,Premier League,Sat,Home,W,3,2,Aston Villa,45.0,city
2015-05-03,Premier League,Sun,Away,W,1,0,Tottenham,45.0,city
2015-05-10,Premier League,Sun,Home,W,6,0,QPR,60.0,city
2015-05-17,Premier League,Sun,Away,W,4,2,Swansea City,53.0,city
2015-05-24,Premier League,Sun,Home,W,2,0,Southampton,55.0,city
2014-08-16,Premier League,Sat,Away,D,2,2,Leicester City,63.0,everton
2014-08-23,Premier League,Sat,Home,D,2,2,Arsenal,46.0,everton
2014-08-30,Premier League,Sat,Home,L,3,6,Chelsea,61.0,everton
2014-09-13,Premier League,Sat,Away,W,2,0,West Brom,55.0,everton
2014-09-18,Europa Lg,Thu,Home,W,4,1,de Wolfsburg,49.0,everton
2014-09-21,Premier League,Sun,Home,L,2,3,Crystal Palace,75.0,everton
2014-09-23,League Cup,Tue,Away,L,0,3,Swansea City,,everton
2014-09-27,Premier League,Sat,Away,D,1,1,Liverpool,54.0,everton
2014-10-02,Europa Lg,Thu,Away,D,1,1,ru Krasnodar,54.0,everton
2014-10-05,Premier League,Sun,Away,L,1,2,Manchester Utd,51.0,everton
2014-10-18,Premier League,Sat,Home,W,3,0,Aston Villa,61.0,everton
2014-10-23,Europa Lg,Thu,Away,D,0,0,fr Lille,56.0,everton
2014-10-26,Premier League,Sun,Away,W,3,1,Burnley,62.0,everton
2014-11-01,Premier League,Sat,Home,D,0,0,Swansea City,67.0,everton
2014-11-06,Europa Lg,Thu,Home,W,3,0,fr Lille,63.0,everton
2014-11-09,Premier League,Sun,Away,D,1,1,Sunderland,58.0,everton
2014-11-22,Premier League,Sat,Home,W,2,1,West Ham,56.0,everton
2014-11-27,Europa Lg,Thu,Away,W,2,0,de Wolfsburg,42.0,everton
2014-11-30,Premier League,Sun,Away,L,1,2,Tottenham,61.0,everton
2014-12-03,Premier League,Wed,Home,D,1,1,Hull City,58.0,everton
2014-12-06,Premier League,Sat,Away,L,0,1,Manchester City,49.0,everton
2014-12-11,Europa Lg,Thu,Home,L,0,1,ru Krasnodar,48.0,everton
2014-12-15,Premier League,Mon,Home,W,3,1,QPR,54.0,everton
2014-12-20,Premier League,Sat,Away,L,0,3,Southampton,56.0,everton
2014-12-26,Premier League,Fri,Home,L,0,1,Stoke City,62.0,everton
2014-12-28,Premier League,Sun,Away,L,2,3,Newcastle Utd,47.0,everton
2015-01-01,Premier League,Thu,Away,L,0,2,Hull City,56.0,everton
2015-01-06,FA Cup,Tue,Home,D,1,1,West Ham,,everton
2015-01-10,Premier League,Sat,Home,D,1,1,Manchester City,38.0,everton
2015-01-13,FA Cup,Tue,Away,D,2 (8),2 (9),West Ham,,everton
2015-01-19,Premier League,Mon,Home,D,0,0,West Brom,69.0,everton
2015-01-31,Premier League,Sat,Away,W,1,0,Crystal Palace,46.0,everton
2015-02-07,Premier League,Sat,Home,D,0,0,Liverpool,46.0,everton
2015-02-11,Premier League,Wed,Away,L,0,1,Chelsea,44.0,everton
2015-02-19,Europa Lg,Thu,Away,W,4,1,ch Young Boys,53.0,everton
2015-02-22,Premier League,Sun,Home,D,2,2,Leicester City,58.0,everton
2015-02-26,Europa Lg,Thu,Home,W,3,1,ch Young Boys,51.0,everton
2015-03-01,Premier League,Sun,Away,L,0,2,Arsenal,53.0,everton
2015-03-04,Premier League,Wed,Away,L,0,2,Stoke City,56.0,everton
2015-03-12,Europa Lg,Thu,Home,W,2,1,ua Dynamo Kyiv,56.0,everton
2015-03-15,Premier League,Sun,Home,W,3,0,Newcastle Utd,54.0,everton
2015-03-19,Europa Lg,Thu,Away,L,2,5,ua Dynamo Kyiv,46.0,everton
2015-03-22,Premier League,Sun,Away,W,2,1,QPR,48.0,everton
2015-04-04,Premier League,Sat,Home,W,1,0,Southampton,45.0,everton
2015-04-11,Premier League,Sat,Away,D,1,1,Swansea City,49.0,everton
2015-04-18,Premier League,Sat,Home,W,1,0,Burnley,66.0,everton
2015-04-26,Premier League,Sun,Home,W,3,0,Manchester Utd,35.0,everton
2015-05-02,Premier League,Sat,Away,L,2,3,Aston Villa,50.0,everton
2015-05-09,Premier League,Sat,Home,L,0,2,Sunderland,73.0,everton
2015-05-16,Premier League,Sat,Away,W,2,1,West Ham,55.0,everton
2015-05-24,Premier League,Sun,Home,L,0,1,Tottenham,40.0,everton
2014-07-31,Europa Lg,Thu,Away,D,0,0,sk FK AS Trenčín,,hull
2014-08-07,Europa Lg,Thu,Home,W,2,1,sk FK AS Trenčín,,hull
2014-08-16,Premier League,Sat,Away,W,1,0,QPR,49.0,hull
2014-08-21,Europa Lg,Thu,Away,L,0,1,be Lokeren,,hull
2014-08-24,Premier League,Sun,Home,D,1,1,Stoke City,43.0,hull
2014-08-28,Europa Lg,Thu,Home,W,2,1,be Lokeren,,hull
2014-08-31,Premier League,Sun,Away,L,1,2,Aston Villa,55.0,hull
2014-09-15,Premier League,Mon,Home,D,2,2,West Ham,41.0,hull
2014-09-20,Premier League,Sat,Away,D,2,2,Newcastle Utd,37.0,hull
2014-09-24,League Cup,Wed,Away,L,2,3,West Brom,,hull
2014-09-27,Premier League,Sat,Home,L,2,4,Manchester City,40.0,hull
2014-10-04,Premier League,Sat,Home,W,2,0,Crystal Palace,59.0,hull
2014-10-18,Premier League,Sat,Away,D,2,2,Arsenal,34.0,hull
2014-10-25,Premier League,Sat,Away,D,0,0,Liverpool,34.0,hull
2014-11-01,Premier League,Sat,Home,L,0,1,Southampton,47.0,hull
2014-11-08,Premier League,Sat,Away,L,0,1,Burnley,53.0,hull
2014-11-23,Premier League,Sun,Home,L,1,2,Tottenham,27.0,hull
2014-11-29,Premier League,Sat,Away,L,0,3,Manchester Utd,24.0,hull
2014-12-03,Premier League,Wed,Away,D,1,1,Everton,43.0,hull
2014-12-06,Premier League,Sat,Home,D,0,0,West Brom,49.0,hull
2014-12-13,Premier League,Sat,Away,L,0,2,Chelsea,40.0,hull
2014-12-20,Premier League,Sat,Home,L,0,1,Swansea City,57.0,hull
2014-12-26,Premier League,Fri,Away,W,3,1,Sunderland,52.0,hull
2014-12-28,Premier League,Sun,Home,L,0,1,Leicester City,62.0,hull
2015-01-01,Premier League,Thu,Home,W,2,0,Everton,45.0,hull
2015-01-04,FA Cup,Sun,Away,L,0,2,Arsenal,,hull
2015-01-10,Premier League,Sat,Away,L,0,1,West Brom,49.0,hull
2015-01-18,Premier League,Sun,Away,L,0,3,West Ham,46.0,hull
2015-01-31,Premier League,Sat,Home,L,0,3,Newcastle Utd,53.0,hull
2015-02-07,Premier League,Sat,Away,D,1,1,Manchester City,26.0,hull
2015-02-10,Premier League,Tue,Home,W,2,0,Aston Villa,38.0,hull
2015-02-21,Premier League,Sat,Home,W,2,1,QPR,54.0,hull
2015-02-28,Premier League,Sat,Away,L,0,1,Stoke City,42.0,hull
2015-03-03,Premier League,Tue,Home,D,1,1,Sunderland,42.0,hull
2015-03-14,Premier League,Sat,Away,D,0,0,Leicester City,49.0,hull
2015-03-22,Premier League,Sun,Home,L,2,3,Chelsea,43.0,hull
2015-04-04,Premier League,Sat,Away,L,1,3,Swansea City,42.0,hull
2015-04-11,Premier League,Sat,Away,L,0,2,Southampton,46.0,hull
2015-04-25,Premier League,Sat,Away,W,2,0,Crystal Palace,54.0,hull
2015-04-28,Premier League,Tue,Home,W,1,0,Liverpool,31.0,hull
2015-05-04,Premier League,Mon,Home,L,1,3,Arsenal,32.0,hull
2015-05-09,Premier League,Sat,Home,L,0,1,Burnley,55.0,hull
2015-05-16,Premier League,Sat,Away,L,0,2,Tottenham,44.0,hull
2015-05-24,Premier League,Sun,Home,D,0,0,Manchester Utd,41.0,hull
2014-08-16,Premier League,Sat,Home,D,2,2,Everton,37.0,leicester
2014-08-23,Premier League,Sat,Away,L,0,2,Chelsea,37.0,leicester
2014-08-26,League Cup,Tue,Home,L,0,1,Shrewsbury,,leicester
2014-08-31,Premier League,Sun,Home,D,1,1,Arsenal,32.0,leicester
