Date,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,team
2013-01-02,Premier League,Matchweek 21,Wed,Home,W,3,0,Sunderland,,liverpool
2013-01-13,Premier League,Matchweek 22,Sun,Away,L,1,2,Manchester Utd,,liverpool
2013-01-19,Premier League,Matchweek 23,Sat,Home,W,5,0,Norwich City,,liverpool
2013-01-30,Premier League,Matchweek 24,Wed,Away,D,2,2,Arsenal,,liverpool
2013-02-03,Premier League,Matchweek 25,Sun,Away,D,2,2,Manchester City,,liverpool
2013-02-11,Premier League,Matchweek 26,Mon,Home,L,0,2,West Brom,,liverpool
2013-02-14,Europa Lg,Round of 32,Thu,Away,L,0,2,ru Zenit,,liverpool
2013-02-17,Premier League,Matchweek 27,Sun,Home,W,5,0,Swansea City,,liverpool
2013-02-21,Europa Lg,Round of 32,Thu,Home,W,3,1,ru Zenit,,liverpool
2013-03-02,Premier League,Matchweek 28,Sat,Away,W,4,0,Wigan Athletic,,liverpool
2013-03-10,Premier League,Matchweek 29,Sun,Home,W,3,2,Tottenham,,liverpool
2013-03-16,Premier League,Matchweek 30,Sat,Away,L,1,3,Southampton,,liverpool
2013-03-31,Premier League,Matchweek 31,Sun,Away,W,2,1,Aston Villa,,liverpool
2013-04-07,Premier League,Matchweek 32,Sun,Home,D,0,0,West Ham,,liverpool
2013-04-13,Premier League,Matchweek 33,Sat,Away,D,0,0,Reading,,liverpool
2013-04-21,Premier League,Matchweek 34,Sun,Home,D,2,2,Chelsea,,liverpool
2013-04-27,Premier League,Matchweek 35,Sat,Away,W,6,0,Newcastle Utd,,liverpool
2013-05-05,Premier League,Matchweek 36,Sun,Home,D,0,0,Everton,,liverpool
2013-05-12,Premier League,Matchweek 37,Sun,Away,W,3,1,Fulham,,liverpool
2013-05-19,Premier League,Matchweek 38,Sun,Home,W,1,0,QPR,,liverpool
2012-08-18,Premier League,Matchweek 1,Sat,Home,W,2,1,Tottenham,,newcastle
2012-08-23,Europa Lg,Play-off round,Thu,Away,D,1,1,gr Atromitos,,newcastle
2012-08-25,Premier League,Matchweek 2,Sat,Away,L,0,2,Chelsea,,newcastle
