Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,WinnerOdd,DrawOdd,Venue,Result
0,1.9000000000000004,1.8999999999999997,1.0,-3.0,0.1999999999999999,-0.0999999999999999,1.6,1.7,-0.1999999999999999,-1.0,18.0,27.0,1.2,1.7000000000000002,40.0,50.0,0.0,40.0,70.0,0.0,13,13,9,11.670000000000002,-10.71,6.0,Emirates Stadium,W
-3,1.9000000000000004,1.1,0.3000000000000007,-2.9000000000000004,0.0999999999999998,-0.1,0.3,0.8,-0.7,-0.6,10.0,14.0,0.5,0.7999999999999998,20.0,30.0,0.0,10.0,20.0,3.0,6,9,8,7.659999999999997,-13.78,7.0,Stamford Bridge,W
5,4.600000000000001,2.6,1.5999999999999996,-2.4000000000000004,-0.9000000000000001,0.0,1.3,1.1,-0.5,0.0,18.0,11.0,1.3,0.2000000000000001,60.0,10.0,11.0,10.0,0.0,5.0,3,2,0,1.6599999999999966,-3.35,4.0,Etihad Stadium,W
-2,3.4000000000000004,1.0999999999999996,1.5,-2.6000000000000014,-0.3,0.2,-0.0999999999999998,0.1,-0.3999999999999999,0.0,3.0,1.0,0.2999999999999998,0.3,10.0,20.0,0.0,10.0,-10.0,0.0,11,9,12,10.670000000000002,-6.55,4.75,Old Trafford,W
1,-3.1999999999999997,-1.0999999999999996,0.1000000000000005,0.3000000000000007,0.1,0.0,1.0,0.5,-0.5,-0.0999999999999998,15.0,6.0,0.1999999999999999,-0.2000000000000001,0.0,-10.0,-4.0,20.0,0.0,-1.0,1,0,6,2.3299999999999983,-1.4500000000000002,3.75,Tottenham Hotspur Stadium,W
0,-3.6000000000000014,-1.7000000000000002,-2.2,3.5,0.5999999999999999,0.1,-0.3999999999999999,-0.7999999999999998,0.6000000000000001,-0.1,-10.0,-7.0,-0.2999999999999998,-0.5,-10.0,-10.0,0.0,-10.0,-30.0,1.0,-3,-2,-4,-3.0,3.2,3.75,White Hart Lane,W
0,3.6999999999999993,1.6,3.8,0.0,-0.7,-0.1,1.0,1.0,-1.6,-1.5000000000000002,26.0,25.0,1.6,1.2999999999999998,50.0,40.0,0.0,60.0,50.0,0.0,8,6,7,7.0,-4.5,4.6,Emirates Stadium,W
0,2.1999999999999997,1.5,0.5,-2.6,-0.5,0.0,1.0,2.2,-0.7000000000000001,-1.2,17.0,34.0,1.1999999999999995,2.2,40.0,70.0,0.0,40.0,80.0,0.0,6,6,7,6.329999999999998,-19.84,8.5,Wembley Stadium,W
1,0.6999999999999993,0.8000000000000007,-3.2,-0.1000000000000014,0.1999999999999999,0.0,0.5999999999999999,1.5,-1.5,-1.4,21.0,29.0,1.7,1.7999999999999998,60.0,60.0,11.0,50.0,60.0,11.0,9,10,11,10.0,-7.14,5.0,Stamford Bridge,W
2,0.9000000000000021,1.2999999999999998,-1.4000000000000004,2.200000000000001,0.0,-0.1,1.1,1.6,0.8,-0.0999999999999999,3.0,17.0,-0.2000000000000001,0.8,0.0,40.0,0.0,-20.0,0.0,-1.0,2,4,2,2.6599999999999966,-2.67,3.9,Anfield,W
-7,-1.799999999999999,-0.9000000000000004,1.0,-1.0,0.5,0.0,0.0,1.2000000000000002,-0.1999999999999999,-0.7,2.0,19.0,0.3999999999999999,1.4,10.0,50.0,0.0,20.0,40.0,0.0,4,8,7,6.340000000000003,-7.05,4.6,Stamford Bridge,W
0,4.199999999999999,2.1,1.2000000000000002,-0.4000000000000003,-0.7,-0.1,0.8,1.2000000000000002,-0.5,-0.5,13.0,17.0,0.9,1.2000000000000002,20.0,40.0,1.0,50.0,40.0,2.0,8,6,10,8.0,-5.0,4.2,King Power Stadium,W
1,-2.5,-0.3000000000000002,-0.6000000000000005,1.8999999999999984,1.2999999999999998,0.0,-0.0999999999999999,-0.3,0.0,-0.1,-1.0,-2.0,0.2,0.0,10.0,10.0,0.0,0.0,-20.0,0.0,0,-2,0,-0.6700000000000017,-0.3999999999999999,3.3,Villa Park,W
-3,2.6,0.3999999999999999,0.7000000000000002,-1.8999999999999984,-0.1,-0.1,0.3,0.0,0.1999999999999999,-0.7,1.0,7.0,0.1999999999999999,0.6,10.0,20.0,1.0,0.0,20.0,-1.0,7,5,8,6.670000000000002,-5.5600000000000005,4.5,Emirates Stadium,W
-3,0.0,0.8000000000000003,-0.7999999999999998,2.3999999999999986,0.3999999999999999,0.1,0.4000000000000001,0.0,0.3,-1.0,1.0,10.0,0.1,0.7,0.0,20.0,1.0,10.0,30.0,3.0,6,6,7,6.340000000000003,-6.14,5.5,Tottenham Hotspur Stadium,W
0,3.6000000000000014,2.2,1.2999999999999998,1.5,0.8999999999999999,0.0,1.0,1.2000000000000002,-0.3999999999999999,-0.3,14.0,15.0,1.1,0.8,40.0,20.0,1.0,30.0,40.0,1.0,9,9,12,10.0,-8.2,5.5,Old Trafford,W
0,0.9000000000000004,1.2000000000000002,0.0999999999999996,-1.0,0.3999999999999999,0.0,0.8,1.1,-0.0999999999999998,-0.1999999999999999,9.0,13.0,0.2999999999999998,0.5999999999999999,10.0,20.0,0.0,10.0,20.0,0.0,-1,1,0,0.0,-2.95,3.79,Selhurst Park,W
1,-0.1999999999999993,0.6999999999999997,0.8000000000000003,3.1999999999999997,0.3999999999999999,-0.1,0.4999999999999999,0.7,-0.5,-0.3999999999999999,10.0,11.0,0.3,0.4,0.0,10.0,-1.0,30.0,20.0,-1.0,-5,-2,-1,-2.6599999999999966,-1.0,3.2,Selhurst Park,W
0,2.1,0.2000000000000001,0.5,-0.3000000000000007,-0.3999999999999999,-0.1,-0.1,1.0,-0.7,-0.7,6.0,17.0,0.3999999999999999,1.4,10.0,40.0,2.0,20.0,60.0,2.0,3,4,4,3.6599999999999966,-2.6,3.6,Dean Court,W
2,-3.4000000000000004,-1.6999999999999995,-1.1999999999999993,-4.199999999999999,-0.7,0.0,-1.0,-0.5000000000000001,-1.3,-1.2000000000000002,3.0,7.0,0.1999999999999999,0.2,10.0,10.0,0.0,0.0,0.0,-1.0,3,4,2,3.0,-1.15,3.2,Molineux Stadium,W
4,0.5,-0.1,-0.8999999999999999,-1.0999999999999996,-0.3,-0.1,0.0999999999999999,-0.2,0.3999999999999999,0.8,-3.0,-10.0,-0.3,0.0,-10.0,10.0,-1.0,-10.0,-20.0,0.0,-4,-1,-5,-3.3299999999999983,0.3200000000000003,3.2,Carrow Road,W
